dataset name,error,v-score,r-score
DI_1000000_50_zipf-invzipf4,10,75.55555556,87.24467941
DI_1000000_50_zipf-invzipf4,20,53.33333333,74.00885121
DI_1000000_50_zipf-invzipf5,5,36.95652174,66.42214213
DI_1000000_50_zipf-invzipf5,10,45.65217391,72.48808723
DI_1000000_50_zipf-invzipf5,20,32.60869565,59.30541277
DI_1000000_50_zipf-invzipf6,5,86.04651163,95.68401216
DI_1000000_50_zipf-invzipf6,10,79.06976744,92.12419458
DI_1000000_50_zipf-invzipf6,20,34.88372093,63.10231809
DI_1000000_50_zipf-invzipf7,5,79.54545455,93.61522791
DI_1000000_50_zipf-invzipf7,10,56.81818182,80.31216855
DI_1000000_50_zipf-invzipf7,20,56.81818182,81.85435366
DI_1000000_50_zipf-invzipf8,5,50,76.59331866
DI_1000000_50_zipf-invzipf8,10,56.81818182,79.02546605
DI_1000000_50_zipf-invzipf8,20,45.45454545,71.94755721
DI_1000000_50_zipf-invzipf9,5,95.74468085,99.99976702
DI_1000000_50_zipf-invzipf9,10,82.9787234,92.87524562
DI_1000000_50_zipf-invzipf9,20,55.31914894,71.08922091
DI_1000000_100_zipf-invzipf0,5,39.53488372,72.47148781
DI_1000000_100_zipf-invzipf0,10,27.90697674,61.52689598
DI_1000000_100_zipf-invzipf0,20,31.39534884,65.33280579
DI_1000000_100_zipf-invzipf1,5,70.96774194,89.47787985
DI_1000000_100_zipf-invzipf1,10,41.93548387,73.94490829
DI_1000000_100_zipf-invzipf1,20,26.88172043,56.98812661
DI_1000000_100_zipf-invzipf2,5,40.4494382,74.55756451
DI_1000000_100_zipf-invzipf2,10,35.95505618,71.3078294
DI_1000000_100_zipf-invzipf2,20,30.33707865,66.25720828
DI_1000000_100_zipf-invzipf3,5,45.65217391,72.16705822
DI_1000000_100_zipf-invzipf3,10,40.2173913,69.1386592
DI_1000000_100_zipf-invzipf3,20,27.17391304,60.77780887
DI_1000000_100_zipf-invzipf4,5,62.92134831,87.70019707
