dataset name,error,v-score,r-score
DI_1000000_50_zipf-invzipf3,20,39.02439024,67.10075291
DI_1000000_50_zipf-invzipf4,5,95.55555556,97.85696288
DI_1000000_50_zipf-invzipf4,10,75.55555556,87.24467941
DI_1000000_50_zipf-invzipf4,20,53.33333333,74.00885121
DI_1000000_50_zipf-invzipf5,5,39.13043478,68.500349
DI_1000000_50_zipf-invzipf5,10,45.65217391,72.77887344
DI_1000000_50_zipf-invzipf5,20,32.60869565,59.30541277
DI_1000000_50_zipf-invzipf6,5,48.8372093,74.21356928
DI_1000000_50_zipf-invzipf6,10,53.48837209,76.70058408
DI_1000000_50_zipf-invzipf6,20,41.86046512,65.70748874
DI_1000000_50_zipf-invzipf7,5,84.09090909,93.615379
DI_1000000_50_zipf-invzipf7,10,61.36363636,80.31231964
DI_1000000_50_zipf-invzipf7,20,61.36363636,81.85450475
DI_1000000_50_zipf-invzipf8,5,90.90909091,97.8817167
DI_1000000_50_zipf-invzipf8,10,65.90909091,84.54792345
DI_1000000_50_zipf-invzipf8,20,38.63636364,67.6963041
DI_1000000_50_zipf-invzipf9,5,95.74468085,99.99976702
DI_1000000_50_zipf-invzipf9,10,82.9787234,92.87524562
DI_1000000_50_zipf-invzipf9,20,55.31914894,71.08922091
DI_1000000_100_zipf-invzipf0,5,32.55813953,67.496661
DI_1000000_100_zipf-invzipf0,10,29.06976744,63.23872911
DI_1000000_100_zipf-invzipf0,20,30.23255814,63.62059139
DI_1000000_100_zipf-invzipf1,5,73.11827957,89.47817952
DI_1000000_100_zipf-invzipf1,10,41.93548387,73.94520766
DI_1000000_100_zipf-invzipf1,20,26.88172043,56.9882169
DI_1000000_100_zipf-invzipf2,5,35.95505618,71.3108646
DI_1000000_100_zipf-invzipf2,10,34.83146067,69.8369131
DI_1000000_100_zipf-invzipf2,20,25.84269663,63.93324659
DI_1000000_100_zipf-invzipf3,5,47.82608696,74.37799509
DI_1000000_100_zipf-invzipf3,10,39.13043478,69.03468827
DI_1000000_100_zipf-invzipf3,20,25,58.41656969
DI_1000000_100_zipf-invzipf4,5,64.04494382,87.70026338
DI_1000000_100_zipf-invzipf4,10,38.20224719,73.02775943
DI_1000000_100_zipf-invzipf4,20,28.08988764,64.19532105
DI_1000000_100_zipf-invzipf5,5,75.2688172,90.97102878
DI_1000000_100_zipf-invzipf5,10,52.68817204,76.07303409
DI_1000000_100_zipf-invzipf5,20,29.03225806,61.53810777
DI_1000000_100_zipf-invzipf6,5,65.55555556,86.99989978
DI_1000000_100_zipf-invzipf6,10,51.11111111,77.6449072
